trade_no,ticker,side,signal_date,entry_date,entry_price,stop_loss,shares,position_value,risk_usd,exit_date,exit_price,exit_reason,pnl,pnl_pct,bars_held,rsi_at_signal,rsi_at_entry
1,ETSY,LONG,2021-05-13,2021-05-17,165.18,153,16,2642.88,194.88,2021-06-22,177.98,rsi50,204.8,7.75,25,29.14,36.09
2,SLB,SHORT,2021-05-17,2021-05-19,32.0,35,66,2112.0,198.0,2021-06-02,35,stop,-198.0,-9.38,9,75.03,60.9
3,F,SHORT,2021-06-04,2021-06-09,15.48,17,131,2027.88,199.12,2021-07-06,14.5,rsi50,128.38,6.33,18,77.51,69.69
4,GDX,LONG,2021-06-29,2021-07-02,34.42,33,140,4818.8,198.8,2021-07-19,33,stop,-198.8,-4.13,10,28.67,37.62
5,IWM,LONG,2021-07-19,2021-07-20,218.3,209,21,4584.3,195.3,2021-07-29,222.52,rsi50,88.62,1.93,7,29.68,42.3
6,TNA,LONG,2021-07-19,2021-07-21,87.86,73,13,1142.18,193.18,2021-08-06,89.04,rsi50,15.34,1.34,12,29.66,46.88
7,NEM,LONG,2021-07-23,2021-07-26,60.39,59,143,8635.77,198.77,2021-08-09,59,stop,-198.77,-2.3,10,28.54,31.16
8,HUM,LONG,2021-08-12,2021-08-16,412.16,405,27,11128.32,193.32,2021-08-26,405,stop,-193.32,-1.74,8,26.47,33.64
9,AMZN,LONG,2021-08-18,2021-08-23,163.2935,158,37,6041.86,195.86,2021-08-30,171.0785,rsi50,288.05,4.77,5,27.55,38.85
10,EXPE,LONG,2021-08-19,2021-08-23,142.84,136,29,4142.36,198.36,2021-09-13,148.79,rsi50,172.55,4.17,14,28.45,37.86
11,NEM,LONG,2021-08-19,2021-08-23,57.78,56,112,6471.36,199.36,2021-09-03,59.67,rsi50,211.68,3.27,9,28.91,38.62
12,ROKU,LONG,2021-08-18,2021-08-23,358.0,340,11,3938.0,198.0,2021-09-03,340,stop,-198.0,-5.03,9,29.84,37.58
13,GM,LONG,2021-08-20,2021-08-25,49.7,47,74,3677.8,199.8,2021-09-15,51.82,rsi50,156.88,4.27,14,29.85,36.13
14,ROKU,LONG,2021-09-14,2021-09-16,323.09,311,16,5169.44,193.44,2021-09-20,311,stop,-193.44,-3.74,2,29.75,34.29
15,CAT,LONG,2021-09-20,2021-09-23,196.62,186,18,3539.16,191.16,2021-10-15,199.02,rsi50,43.2,1.22,16,28.95,40.08
16,GS,LONG,2021-09-21,2021-09-23,391.86,374,11,4310.46,196.46,2021-09-27,399.81,rsi50,87.45,2.03,2,29.52,45.68
17,XLB,LONG,2021-09-20,2021-09-23,40.595,39,125,5074.38,199.38,2021-10-13,40.955,rsi50,45.0,0.89,14,27.2,40.24
18,XLI,LONG,2021-09-21,2021-09-23,100.64,97,54,5434.56,196.56,2021-10-07,100.96,rsi50,17.28,0.32,10,30.0,43.66
19,B,LONG,2021-09-27,2021-09-30,18.05,17,190,3429.5,199.5,2021-10-13,19.23,rsi50,224.2,6.54,9,29.31,36.86
20,GDX,LONG,2021-09-28,2021-09-30,29.47,28,136,4007.92,199.92,2021-10-12,31.14,rsi50,227.12,5.67,8,29.39,34.43
21,SLV,LONG,2021-09-29,2021-09-30,20.52,19,131,2688.12,199.12,2021-10-13,21.33,rsi50,106.11,3.95,9,29.28,38.69
22,KO,LONG,2021-09-28,2021-10-01,53.02,52,196,10391.92,199.92,2021-10-14,54.61,rsi50,311.64,3.0,9,24.36,33.91
23,QQQ,LONG,2021-10-04,2021-10-06,359.67,350,20,7193.4,193.4,2021-10-14,366.63,rsi50,139.2,1.94,6,29.43,40.78
24,TQQQ,LONG,2021-10-04,2021-10-06,31.515,29,79,2489.68,198.68,2021-10-14,33.31,rsi50,141.81,5.7,6,29.27,39.79
25,AMZN,LONG,2021-10-04,2021-10-07,165.1215,158,28,4623.4,199.4,2021-10-15,170.451,rsi50,149.23,3.23,6,28.95,44.64
