Date,Time,Exchange,Symbol,Side,Shares,Entry Price,Stop Loss,Total USD,Risk USD,Risk %,Signal Date,Order ID,Mode,Strategy
2026-05-22,16:44:00,Alpaca/paper,GOOG,short,26,381.84,405,9927.84,602.16,6.07,2026-05-13,b9b591df-ae20-49c4-822b-9af6c6712cbd,paper,SID v2.1
2026-05-26,17:44:03,Alpaca/paper,UNH,short,26,378.42,405,9838.92,691.08,7.02,2026-04-17,fd464876-88d9-4c30-a1d2-72cc52caa0e7,paper,SID v2.1
2026-06-01,18:21:20,V2.1/TP1,GOOG,short-tp1,13,381.84,382,4843.54,120.38,1.19,2026-05-13,TP1-b9b591df-ae20-49c4-822b-9af6c6712cbd,paper,SID v2.1
2026-06-11,17:50:36,Alpaca/paper,GOOG,short-extclose,13,381.84,381.83,4963.92,442.07,8.91,2026-05-13,EXT-GOOG-1781200236041,paper,SID v2.1
2026-06-12,17:23:18,Alpaca/paper,PYPL,long,23,41.40,40,952.09,32.09,3.37,2026-06-05,c95dc605-4b56-47c3-bd84-be5265e9405b,paper,SID v2.2.1
2026-06-15,18:50:23,Alpaca/paper,GLD,long,2,396.97,371,793.94,51.94,6.54,2026-06-10,fc060148-5173-4cc3-a128-69a8be45a4c9,paper,SID v2.2.1
2026-06-17,17:29:33,Alpaca/paper,UNH,short,2,406.75,416,813.5,18.5,2.27,2026-06-08,a73fbaba-330c-4fc9-a107-a33474656527,paper,SID v2.2.1
2026-06-24,16:37:37,Alpaca/paper,GLD,long-extclose,2,396.97,371.00,793.94,-61.16,-7.70,2026-06-10,EXT-GLD-1782319057224,paper,SID v2.2.1
2026-06-25,16:40:22,Alpaca/paper,UNH,short-extclose,2,406.75,416.00,813.50,-18.96,-2.33,2026-06-08,EXT-UNH-1782405622903,paper,SID v2.2.1
2026-06-26,16:32:09,Alpaca/paper,ADBE,long,4,200.78,190,803.12,43.12,5.37,2026-06-17,272fa6a4-1384-4b1c-83fc-9149b7350328,paper,SID v2.2.1
2026-06-30,16:37:02,Alpaca/paper,UNH,short,2,416.52,428,833.04,22.96,2.76,2026-06-26,d9bca959-f4e3-4fa0-bcf0-bfca2cb8c272,paper,SID v2.2.3
2026-07-01,23:11:04,Alpaca/paper,UNH,short-extclose,2,416.52,428.00,833.04,-23.06,-2.77,2026-06-26,EXT-UNH-1782947464725,paper,SID v2.2.3
2026-06-26,16:19:19,V2.1/TP1,PYPL,long-tp1,11,41.40,41.41,487.19,31.85,0.33,2026-06-05,TP1-c95dc605-4b56-47c3-bd84-be5265e9405b,paper,SID v2.1
2026-07-02,16:19:22,V2.1/TP1,ADBE,long-tp1,2,200.78,200.79,440.92,39.36,0.40,2026-06-17,TP1-272fa6a4-1384-4b1c-83fc-9149b7350328,paper,SID v2.1
2026-07-02,14:09:14,V2.1/TP2-sma50_touch,PYPL,long-tp2,12,41.40,41.41,538.59,41.85,0.43,2026-06-05,TP2-c95dc605-4b56-47c3-bd84-be5265e9405b,paper,SID v2.1
2026-07-15,14:09:16,V2.1/TP2-sma50_touch,ADBE,long-tp2,2,200.78,200.79,462.62,61.06,0.62,2026-06-17,TP2-272fa6a4-1384-4b1c-83fc-9149b7350328,paper,SID v2.1
2026-07-20,16:08:54,Alpaca/paper,RIOT,long,38,19.65,17,746.7,100.7,13.49,2026-07-16,71c298f4-58fc-4aaf-a53a-744148aced14,paper,SID v2.4.1
2026-07-22,15:59:47,V2.1/TP1,RIOT,long-tp1,19,19.65,19.66,435.75,62.4,0.61,2026-07-16,TP1-71c298f4-58fc-4aaf-a53a-744148aced14,paper,SID v2.1
2026-07-23,16:07:52,V2.1/TP2-sma50_touch,RIOT,long-tp2,19,19.65,19.66,457.14,83.79,0.81,2026-07-16,TP2-71c298f4-58fc-4aaf-a53a-744148aced14,paper,SID v2.1
2026-07-27,16:38:30,Alpaca/paper,IBM,long,4,217.13,199,868.52,72.52,8.35,2026-07-22,65e9885d-2f58-42c4-8dd6-b99aa47601f1,paper,SID v2.4.1
