Date,Time,Symbol,Side,Entry,StopLoss,SwingRef,SL_Dist_Pct,SL_Under_2pct,TP1,TP2,TP3,RR1,RR2,RR3,Size_USD,Current_Outcome,Current_Exit_Level,Current_Exit_Price,Current_PnL_USD,New_Rule_Action,New_Outcome,New_Exit_Level,New_Exit_Price,New_PnL_USD,PnL_Difference
2026-04-28,21:15:00,BTCUSDT,SHORT,76263.1,76491.8893,76403,0.3,YES,75974.9,73670,72120.1682,1.26,11.33,18.11,50.03,BE,SL,76263.1,0.23,TAKEN,BE,SL,76263.1,0.23,0
2026-04-28,19:45:00,BTCUSDT,SHORT,76292.3,76521.1769,76448.4,0.3,YES,75974.9,73670,72120.1682,1.39,11.46,18.23,49.97,BE,SL,76292.3,0.25,TAKEN,BE,SL,76292.3,0.25,0
2026-04-28,19:15:00,BTCUSDT,SHORT,76140.7,76486.5,76419,0.45,YES,75974.9,73670,72120.1682,0.48,7.14,11.63,50.02,BE,SL,76140.7,0.13,TAKEN,BE,SL,76140.7,0.13,0
2026-04-28,18:45:00,BTCUSDT,SHORT,76203.2,76490.2857,76419,0.38,YES,75974.9,73670,72120.1682,0.8,8.82,14.22,49.99,BE,SL,76203.2,0.18,TAKEN,BE,SL,76203.2,0.18,0
2026-04-28,18:15:00,BTCUSDT,SHORT,76200,76489.6321,76419,0.38,YES,75974.9,73670,72120.1682,0.78,8.74,14.09,49.99,BE,SL,76200,0.18,TAKEN,BE,SL,76200,0.18,0
2026-04-28,17:15:00,BTCUSDT,SHORT,76061.3,76342.3143,76266.3,0.37,YES,73670,72120.1682,70726.6621,8.51,14.02,18.98,49.97,LOSS,SL,76342.3143,-0.55,TAKEN,LOSS,SL,76342.3143,-0.55,0
2026-04-28,16:30:00,BTCUSDT,SHORT,75892.2,76332.8643,76238.6,0.58,YES,73670,72120.1682,70726.6621,5.04,8.56,11.72,50.01,LOSS,SL,76332.8643,-0.87,TAKEN,LOSS,SL,76332.8643,-0.87,0
2026-04-28,15:30:00,BTCUSDT,SHORT,75905.5,76163.6464,76073.7,0.34,YES,73670,72120.6663,70720.6325,8.66,14.66,20.08,50.02,LOSS,SL,76163.6464,-0.51,TAKEN,LOSS,SL,76163.6464,-0.51,0
2026-04-28,14:45:00,BTCUSDT,SHORT,75923.1,76172.6893,76073.7,0.33,YES,73670,72120.6663,70720.6325,9.03,15.23,20.84,50.03,LOSS,SL,76172.6893,-0.49,TAKEN,LOSS,SL,76172.6893,-0.49,0
2026-04-28,14:15:00,BTCUSDT,SHORT,75800.2,76159.6143,76046.7,0.47,YES,73670,72120.6663,70720.6325,5.93,10.24,14.13,50.03,LOSS,SL,76159.6143,-0.71,TAKEN,LOSS,SL,76159.6143,-0.71,0
2026-04-28,12:15:00,BTCUSDT,SHORT,76199.4,76535.1143,76396.2,0.44,YES,75974.9,73670,72120.6663,0.67,7.53,12.15,49.99,LOSS,SL,76535.1143,-0.66,TAKEN,LOSS,SL,76535.1143,-0.66,0
2026-04-28,11:45:00,BTCUSDT,SHORT,76204.9,76535,76396.2,0.43,YES,75974.9,73670,72120.6663,0.7,7.68,12.37,49.99,LOSS,SL,76535,-0.65,TAKEN,LOSS,SL,76535,-0.65,0
2026-04-28,07:15:00,BTCUSDT,SHORT,76611.2,77055.075,76961.6,0.58,YES,75974.9,73670,72120.6663,1.43,6.63,10.12,50.03,LOSS,SL,77055.075,-0.87,TAKEN,LOSS,SL,77055.075,-0.87,0
